"id","config_rule","chunk","metadata"
"60c4ff80-fcc4-47f9-b6af-bce8c3c3cde7","access-keys-rotated","Config Rule: access-keys-rotated

Guidance: Ensure that active IAM access keys are rotated (changed) within the numberof days speciﬁed in maxAccess KeyAge. The rule is NON_COMPLIANT if access keys are not rotated within the speciﬁed time period. the default value is 90 days.","{""guidance"": ""Ensure that active IAM access keys are rotated (changed) within the numberof days speci\ufb01ed in maxAccess KeyAge. The rule is NON_COMPLIANT if access keys are not rotated within the speci\ufb01ed time period. the default value is 90 days."", ""service"": ""iam""}"
"7df3765d-01ac-4c33-aed7-f03bf0a33296","acm-certiﬁcate-rsa-check","Config Rule: acm-certiﬁcate-rsa-check

Guidance: Ensure that RSA certiﬁcates managed by AWS Certiﬁcate Manager (ACM) have a key length of at least '2048' bits.The rule is NON_COMPLIANT if the minimumkey length is less than 2048 bits.","{""guidance"": ""Ensure that RSA certi\ufb01cates managed by AWS Certi\ufb01cate Manager (ACM) have a key length of at least '2048' bits.The rule is NON_COMPLIANT if the minimumkey length is less than 2048 bits."", ""service"": ""acm""}"
"71e76bd5-a9b1-4a7a-a714-11b61c81ea64","acm-pca-root-ca-disabled","Config Rule: acm-pca-root-ca-disabled

Guidance: Ensure that AWS Private Certiﬁcate Authority (AWS Private CA) has a root CA that is disabled. The rule is NON_COMPLIANT for root CAs with status that is not DISABLED.","{""guidance"": ""Ensure that AWS Private Certi\ufb01cate Authority (AWS Private CA) has a root CA that is disabled. The rule is NON_COMPLIANT for root CAs with status that is not DISABLED."", ""service"": ""acm-pca""}"
"beea83fb-29ba-4d0c-818d-ca1f013b1ead","api-gw-cache-enabled-and-encrypted","Config Rule: api-gw-cache-enabled-and-encrypted

Guidance: Ensure that all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in an Amazon API Gateway stage is not conﬁgured to cache or the cache is not encrypted.","{""guidance"": ""Ensure that all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in an Amazon API Gateway stage is not con\ufb01gured to cache or the cache is not encrypted."", ""service"": ""apigateway""}"
"edd6bf88-9724-410b-8f32-a2f5dd0169ab","api-gw-endpoint-type-check","Config Rule: api-gw-endpoint-type-check

Guidance: Ensure that Amazon API Gateway APIs are of the type speciﬁed in the rule parameter 'endpointConﬁgurationType'. The rule returns NON_COMPLIANT if the REST API does not match the endpoint type conﬁgured in the rule parameter.","{""guidance"": ""Ensure that Amazon API Gateway APIs are of the type speci\ufb01ed in the rule parameter 'endpointCon\ufb01gurationType'. The rule returns NON_COMPLIANT if the REST API does not match the endpoint type con\ufb01gured in the rule parameter."", ""service"": ""apigateway""}"
"07a9e39a-7724-48fc-8b23-d9b440c026c6","api-gw-xray-enabled","Config Rule: api-gw-xray-enabled

Guidance: Ensure that AWS X-Ray tracing is enabled on Amazon API Gateway REST APIs. The rule is COMPLIANT if X-Ray tracing is enabled and NON_COMPLIANT otherwise.","{""guidance"": ""Ensure that AWS X-Ray tracing is enabled on Amazon API Gateway REST APIs. The rule is COMPLIANT if X-Ray tracing is enabled and NON_COMPLIANT otherwise."", ""service"": ""apigateway""}"
"087137bf-0154-4f23-94aa-3a39475b6a95","api-gwv2-access-logs-enabled","Config Rule: api-gwv2-access-logs-enabled

Guidance: Ensure that Amazon API Gateway V2 stages have access logging enabled. The rule is NON_COMPLIANT if 'accessLogSettings' is not present in Stage conﬁguration.","{""guidance"": ""Ensure that Amazon API Gateway V2 stages have access logging enabled. The rule is NON_COMPLIANT if 'accessLogSettings' is not present in Stage con\ufb01guration."", ""service"": ""apigatewayv2""}"
"aa175860-6b7b-4214-8a5b-1e09e4f3b420","appsync-associated-with-waf","Config Rule: appsync-associated-with-waf

Guidance: Ensure that AWS AppSync APIs are associated with AWS WAFv2 web access control lists (ACLs). The rule is NON_COMPLIANT for an AWS AppSync API if it is not associated with a web ACL.","{""guidance"": ""Ensure that AWS AppSync APIs are associated with AWS WAFv2 web access control lists (ACLs). The rule is NON_COMPLIANT for an AWS AppSync API if it is not associated with a web ACL."", ""service"": ""appsync""}"
"ccac6635-360f-463d-8905-4645ad5e5a66","appsync-logging-enabled","Config Rule: appsync-logging-enabled

Guidance: Ensure that an AWS AppSync API has logging enabled. The rule is NON_COMPLIANT if logging is not enabled, or 'ﬁeldLogLevel' is neither ERROR nor ALL.","{""guidance"": ""Ensure that an AWS AppSync API has logging enabled. The rule is NON_COMPLIANT if logging is not enabled, or '\ufb01eldLogLevel' is neither ERROR nor ALL."", ""service"": ""appsync""}"
"37a5b088-89c9-4b63-ad14-bcbbba1d88af","athena-workgroup-encrypted-at-rest","Config Rule: athena-workgroup-encrypted-at-rest

Guidance: Ensure that an Amazon Athena workgroup is encrypted at rest. The rule is NON_COMPLIANT if encryption of data at rest is not enabled for an Athena workgroup.","{""guidance"": ""Ensure that an Amazon Athena workgroup is encrypted at rest. The rule is NON_COMPLIANT if encryption of data at rest is not enabled for an Athena workgroup."", ""service"": ""athena""}"
