config_rule,guidance,client,service,function,keys_to_get,doc_link
access-keys-rotated,Ensure that active IAM access keys are rotated (changed) within the numberof days speciﬁed in maxAccess KeyAge. The rule is NON_COMPLIANT if access keys are not rotated within the speciﬁed time period. the default value is 90 days.,iam,iam,get_access_key_last_used,"IAM, KeyAge, the default",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/iam.html#IAM.Client.get_access_key_last_used
acm-certiﬁcate-rsa-check,Ensure that RSA certiﬁcates managed by AWS Certiﬁcate Manager (ACM) have a key length of at least '2048' bits.The rule is NON_COMPLIANT if the minimumkey length is less than 2048 bits.,acm,acm,describe_certificate,"RSA, ACM",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/acm.html#ACM.Client.describe_certificate
acm-pca-root-ca-disabled,Ensure that AWS Private Certiﬁcate Authority (AWS Private CA) has a root CA that is disabled. The rule is NON_COMPLIANT for root CAs with status that is not DISABLED.,acm-pca,acm-pca,describe_certificate_authority,"Private, Authority, CAs, DISABLED",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/acm-pca.html#ACMPCA.Client.describe_certificate_authority
api-gw-cache-enabled-and-encrypted,Ensure that all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in an Amazon API Gateway stage is not conﬁgured to cache or the cache is not encrypted.,apigateway,apigateway,get_stage,,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigateway.html#APIGateway.Client.get_stage
api-gw-endpoint-type-check,Ensure that Amazon API Gateway APIs are of the type speciﬁed in the rule parameter 'endpointConﬁgurationType'. The rule returns NON_COMPLIANT if the REST API does not match the endpoint type conﬁgured in the rule parameter.,apigateway,apigateway,get_stage,"APIs, REST",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigateway.html#APIGateway.Client.get_stage
api-gw-xray-enabled,Ensure that AWS X-Ray tracing is enabled on Amazon API Gateway REST APIs. The rule is COMPLIANT if X-Ray tracing is enabled and NON_COMPLIANT otherwise.,apigateway,apigateway,get_stage,"Ray, REST, APIs",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigateway.html#APIGateway.Client.get_stage
api-gwv2-access-logs-enabled,Ensure that Amazon API Gateway V2 stages have access logging enabled. The rule is NON_COMPLIANT if 'accessLogSettings' is not present in Stage conﬁguration.,apigatewayv2,apigatewayv2,get_stage,Stage,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/apigatewayv2.html#ApiGatewayV2.Client.get_stage
appsync-associated-with-waf,Ensure that AWS AppSync APIs are associated with AWS WAFv2 web access control lists (ACLs). The rule is NON_COMPLIANT for an AWS AppSync API if it is not associated with a web ACL.,appsync,appsync,get_graphql_api,"AppSync, APIs, WAFv2, ACLs, ACL",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/appsync.html#AppSync.Client.get_graphql_api
appsync-logging-enabled,"Ensure that an AWS AppSync API has logging enabled. The rule is NON_COMPLIANT if logging is not enabled, or 'ﬁeldLogLevel' is neither ERROR nor ALL.",appsync,appsync,get_graphql_api,"AppSync, ERROR, ALL",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/appsync.html#AppSync.Client.get_graphql_api
athena-workgroup-encrypted-at-rest,Ensure that an Amazon Athena workgroup is encrypted at rest. The rule is NON_COMPLIANT if encryption of data at rest is not enabled for an Athena workgroup.,athena,athena,get_work_group,Athena,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/athena.html#Athena.Client.get_work_group
aurora-resources-protected-by-backup-plan,Ensure that Amazon Aurora DB clusters are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon Relational Database Service (Amazon RDS) Database Cluster is not protected by a backup plan.,rds,rds,describe_db_clusters,"Aurora, Relational, Database, RDS, Cluster",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_clusters
autoscaling-launchconﬁg-requires-imdsv2,Ensure that only IMDSv2 is enabled. This rule is NON_COMPLIANT if the Metadata version is not included in the launch conﬁguration or if both MetadataV1 and V2 are enabled.,autoscaling,autoscaling,describe_launch_configuration,"IMDSv2, This, Metadata, MetadataV1",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/autoscaling.html#AutoScaling.Client.describe_launch_configuration
backup-recovery-point-manual-deletion-disabled,"Ensure that a backup vault has an attached resource-based policy which prevents deletion of recovery points. The rule is NON_COMPLIANT if the Backup Vault does not have resource- based policies or has policies withouta suitable 'Deny' statement (statement with backup:DeleteRecoveryPoint, backup:UpdateRecoveryPointLifecycle, and backup:PutBackupVaultAccess Policy permissions).",backup,backup,describe_backup_vault,"Backup, Vault, Deny, DeleteRecoveryPoint, UpdateRecoveryPointLifecycle, PutBackupVaultAccess",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/backup.html#Backup.Client.describe_backup_vault
cloudformation-stack-notiﬁcation-check,Ensure that your CloudFormation stacks send event notiﬁcations to an Amazon SNS topic. Optionally ensure that speciﬁed Amazon SNS topics are used. The rule is NON_COMPLIANT if CloudFormation stacks do not send notiﬁcations.,cloudformation,cloudformation,describe_stacks,"CloudFormation, SNS, Optionally",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudformation.html#Cloudformation.Client.describe_stacks
