"id","control_id","requirement","chunk","metadata"
"8890d84f-8567-4bf0-9134-10d66e263578","1.1.1","All security policies and operational procedures that are identified in Requirement 1 are: Documented. Kept up to date. In use. Known to all affected parties.","PCI DSS 4_0_1 Requirement Control 1.1.1

Defined Approach Requirements:
All security policies and operational procedures that are identified in Requirement 1 are: Documented. Kept up to date. In use. Known to all affected parties.

Customized Approach Objective:
Expectations, controls, and oversight for meeting activities within Requirement 1 are defined, understood, and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management’s intent.

Guidance:
Purpose: Requirement 1.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout requirement 1. while it is important to define the specific policies or procedures called out in requirement 1, it is equally important to ensure they are properly documented, maintained, and disseminated. Good Practice: It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. for these reasons, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle. Definitions: Security policies define the entity’s security objectives and principles. operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.","{""control_id"": ""1.1.1"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": false, ""requirements_id"": ""1""}"
"f79157d9-000d-449d-b949-14efdd36b20c","1.1.2","Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.","PCI DSS 4_0_1 Requirement Control 1.1.2

Defined Approach Requirements:
Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.

Customized Approach Objective:
Day-to-day responsibilities for performing all the activities in Requirement 1 are allocated. Personnel are accountable for successful, continuous operation of these requirements.

Testing Procedures:
Testing Procedure 1.1.2.a: Examine documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 1 are documented and assigned.
Testing Procedure 1.1.2.b: Interview personnel responsible for performing activities in Requirement 1 to verify that roles and responsibilities are assigned as documented and are understood.

Guidance:
Purpose: If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Examples: A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a raci matrix). Good Practice: Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. as part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.","{""control_id"": ""1.1.2"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"991cd262-e27f-4a79-a010-c1d09461d17b","1.2.1","Configuration standards for NSC rulesets are: Defined. Implemented. Maintained.","PCI DSS 4_0_1 Requirement Control 1.2.1

Defined Approach Requirements:
Configuration standards for NSC rulesets are: Defined. Implemented. Maintained.

Customized Approach Objective:
The way that NSCs are configured and operate are defined and consistently applied.

Testing Procedures:
Testing Procedure 1.2.1.a: Examine the configuration standards for NSC rulesets to verify the standards are in accordance with all elements specified in this requirement.
Testing Procedure 1.2.1.b: Examine configuration settings for NSC rulesets to verify that rulesets are implemented according to the configuration standards.

Guidance:
Purpose: The implementation of these configuration standards results in the nsc being configured and managed to properly perform their security function (often referred to as the ruleset). Examples: Examples of nscs covered by these configuration standards include, but are not limited to, firewalls, routers configured with access control lists, and cloud virtual networks. Good Practice: These standards often define the requirements for acceptable protocols, ports that are permitted to be used, and specific configuration requirements that are acceptable. configuration standards may also outline what the entity considers not acceptable or not permitted within its network. Definitions: Nscs are key components of a network architecture. most commonly, nscs are used at the boundaries of the cde to control network traffic flowing inbound and outbound from the cde. configuration standards outline an entity’s minimum requirements for the configuration of its nscs.","{""control_id"": ""1.2.1"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"6a7698ab-ca08-4748-a74e-a9cd69c956fe","1.2.2","All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.","PCI DSS 4_0_1 Requirement Control 1.2.2

Defined Approach Requirements:
All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.

Customized Approach Objective:
Changes to network connections and NSCs cannot result in misconfiguration, implementation of insecure services, or unauthorized network connections.

Applicability Notes:
Changes to network connections include the addition, removal, or modification of a connection. Changes to NSC configurations include those related to the component itself as well as those affecting how it performs its security function.

Testing Procedures:
Testing Procedure 1.2.2.a: Examine documented procedures to verify that changes to network connections and configurations of NSCs are included in the formal change control process in accordance with Requirement 6.5.1.
Testing Procedure 1.2.2.b: Examine network configuration settings to identify changes made to network connections. Interview responsible personnel and examine change control records to verify that identified changes to network connections were approved and managed in accordance with Requirement 6.5.1.
Testing Procedure 1.2.2.c: Examine network configuration settings to identify changes made to configurations of NSCs. Interview responsible personnel and examine change control records to verify that identified changes to configurations of NSCs were approved and managed in accordance with Requirement 6.5.1.

Guidance:
Purpose: Following a structured change control process for all changes to nscs reduces the risk that a change could introduce a security vulnerability. Good Practice: Changes should be approved by individuals with the appropriate authority and knowledge to understand the impact of the change. verification should provide reasonable assurance that the change did not adversely impact the security of the network and that the change performs as expected. to avoid having to address security issues introduced by a change, all changes should be approved prior to being implemented and verified after the change is implemented. once approved and verified, network documentation should be updated to include the changes to prevent inconsistencies between network documentation and the actual configuration.","{""control_id"": ""1.2.2"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"ef1b8091-1f49-4db4-bfe4-fa24796ad3f3","1.2.3","(continued)_ An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.","PCI DSS 4_0_1 Requirement Control 1.2.3

Defined Approach Requirements:
(continued)_
An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.

Customized Approach Objective:
**1.2.3.b** Examine documentation and interview responsible personnel to verify that the network diagram(s) is accurate and updated when there are changes to the environment.

Applicability Notes:
A current network diagram(s) or other technical or topological solution that identifies network connections and devices can be used to meet this requirement.

Testing Procedures:
Testing Procedure 1.2.3.a: Examine diagram(s) and network configurations to verify that an accurate network diagram(s) exists in accordance with all elements specified in this requirement.
Testing Procedure 1.2.3.b: Examine documentation and interview responsible personnel to verify that the network diagram(s) is accurate and updated when there are changes to the environment.

Guidance:
Purpose: An up-to-date, readily available data-flow diagram helps an organization understand and keep track of the scope of its environment by showing how account data flows across networks and between individual systems and devices. maintaining an up-to-date data-flow diagram(s) prevents account data from being overlooked and unknowingly left unsecured. Good Practice: The data-flow diagram should include all connection points where account data is received into and sent out of the network, including connections to open, public networks, application processing flows, storage, transmissions between systems and networks, and file backups. _(continued on next page)_.","{""control_id"": ""1.2.3"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"533c7f89-4820-48e0-b6bc-ee646301a0db","1.2.4","(continued)_ An accurate data-flow diagram(s) is maintained that meets the following: Shows all account data flows across systems and networks. Updated as needed upon changes to the environment.","PCI DSS 4_0_1 Requirement Control 1.2.4

Defined Approach Requirements:
(continued)_
An accurate data-flow diagram(s) is maintained that meets the following: Shows all account data flows across systems and networks. Updated as needed upon changes to the environment.

Customized Approach Objective:
A representation of all transmissions of account data between system components and across network segments is maintained and available.

Applicability Notes:
A data-flow diagram(s) or other technical or topological solution that identifies flows of account data across systems and networks can be used to meet this requirement.

Testing Procedures:
Testing Procedure 1.2.4.a: Examine data-flow diagram(s) and interview personnel to verify the diagram(s) show all account data flows in accordance with all elements specified in this requirement.
Testing Procedure 1.2.4.b: Examine documentation and interview responsible personnel to verify that the data-flow diagram(s) is accurate and updated when there are changes to the environment.","{""control_id"": ""1.2.4"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"71b952f7-46b9-492e-a45e-f420ce2dcc9a","1.2.5","All services, protocols, and ports allowed are identified, approved, and have a defined business need.","PCI DSS 4_0_1 Requirement Control 1.2.5

Defined Approach Requirements:
All services, protocols, and ports allowed are identified, approved, and have a defined business need.

Customized Approach Objective:
Unauthorized network traffic (services, protocols, or packets destined for specific ports) cannot enter or leave the network.

Testing Procedures:
Testing Procedure 1.2.5.a: Examine documentation to verify that a list exists of all allowed services, protocols, and ports, including business justification and approval for each.
Testing Procedure 1.2.5.b: Examine configuration settings for NSCs to verify that only approved services, protocols, and ports are in use.

Guidance:
Purpose: Compromises often happen due to unused or insecure services (for example, telnet and ftp), protocols, and ports, since these can lead to unnecessary points of access being opened into the cde. additionally, services, protocols, and ports that are enabled but not in use are often overlooked and left unsecured and unpatched. by identifying the services, protocols, and ports necessary for business, entities can ensure that all other services, protocols, and ports are disabled or removed. Good Practice: The security risk associated with each service, protocol, and port allowed should be understood. approvals should be granted by personnel independent of those managing the configuration. approving personnel should possess knowledge and accountability appropriate for making approval decisions.","{""control_id"": ""1.2.5"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"77b8079c-7d5e-4315-879d-105be72e09d8","1.2.6","Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.","PCI DSS 4_0_1 Requirement Control 1.2.6

Defined Approach Requirements:
Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.

Customized Approach Objective:
The specific risks associated with the use of insecure services, protocols, and ports are understood, assessed, and appropriately mitigated.

Testing Procedures:
Testing Procedure 1.2.6.a: Examine documentation that identifies all insecure services, protocols, and ports in use to verify that for each, security features are defined to mitigate the risk.
Testing Procedure 1.2.6.b: Examine configuration settings for NSCs to verify that the defined security features are implemented for each identified insecure service, protocol, and port.

Guidance:
Purpose: Compromises take advantage of insecure network configurations. Good Practice: If insecure services, protocols, or ports are necessary for business, the risk posed by these services, protocols, and ports should be clearly understood and accepted by the organization, the use of the service, protocol, or port should be justified, and the security features that mitigate the risk of using these services, protocols, and ports should be defined and implemented by the entity. Further Information: For guidance on services, protocols, or ports considered to be insecure, refer to industry standards and guidance (for example, from nist, enisa, owasp).","{""control_id"": ""1.2.6"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"66b08677-bd07-47ee-b9c6-2149e1ab0cd3","1.2.7","Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.","PCI DSS 4_0_1 Requirement Control 1.2.7

Defined Approach Requirements:
Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.

Customized Approach Objective:
NSC configurations that allow or restrict access to trusted networks are verified periodically to ensure that only authorized connections with a current business justification are permitted.

Testing Procedures:
Testing Procedure 1.2.7.a: Examine documentation to verify procedures are defined for reviewing configurations of NSCs at least once every six months.
Testing Procedure 1.2.7.b: Examine documentation of reviews of configurations for NSCs and interview responsible personnel to verify that reviews occur at least once every six months.
Testing Procedure 1.2.7.c: Examine configurations for NSCs to verify that configurations identified as no longer being supported by a business justification are removed or updated.

Guidance:
Purpose: Such a review gives the organization an opportunity to clean up any unneeded, outdated, or incorrect rules and configurations which could be utilized by an unauthorized person. furthermore, it ensures that all rules and configurations allow only authorized services, protocols, and ports that match the documented business justifications. Good Practice: This review, which can be implemented using manual, automated, or system-based methods, is intended to confirm that the settings that manage traffic rules, what is allowed in and out of the network, match the approved configurations. the review should provide confirmation that all permitted access has a justified business reason. any discrepancies or uncertainties about a rule or configuration should be escalated for resolution. while this requirement specifies that this review occur at least once every six months, organizations with a high volume of changes to their network configurations may wish to consider performing reviews more frequently to ensure that the configurations continue to meet the needs of the business.","{""control_id"": ""1.2.7"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"73e8bd9d-d459-44eb-9d82-b6787831822d","1.2.8","Configuration files for NSCs are: Secured from unauthorized access. Kept consistent with active network configurations.","PCI DSS 4_0_1 Requirement Control 1.2.8

Defined Approach Requirements:
Configuration files for NSCs are: Secured from unauthorized access. Kept consistent with active network configurations.

Customized Approach Objective:
NSCs cannot be defined or modified using untrusted configuration objects (including files).

Applicability Notes:
Any file or setting used to configure or synchronize NSCs is considered to be a “configuration file.” This includes files, automated and system-based controls, scripts, settings, infrastructure as code, or other parameters that are backed up, archived, or stored remotely.

Testing Procedures:
Testing Procedure 1.2.8: Examine configuration files for NSCs to verify they are in accordance with all elements specified in this requirement.

Guidance:
Purpose: To prevent unauthorized configurations from being applied to the network, stored files with configurations for network controls need to be kept up to date and secured against unauthorized changes. keeping configuration information current and secure ensures that the correct settings for nscs are applied whenever the configuration is run. Examples: If the secure configuration for a router is stored in non-volatile memory, when that router is restarted or rebooted, these controls should ensure that its secure configuration is reinstated.","{""control_id"": ""1.2.8"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
